data,codigo_estacao,nome_estacao,cota_cm,vazao_m3s,chuva_mm,rio,uf,municipio,bacia,sub_bacia,latitude,longitude,altitude,area_drenagem_km2,ano,mes,dia,trimestre,dia_semana,periodo_hidrologico,fonte_dados,nivel_consistencia,tipo_medicao,Dia_Maxima,Dia_Minima,cota_maxima_mes_cm,cota_media_mes_cm,cota_mediadiaria_mes_cm,cota_minima_mes_cm,uf_nome,operando
2021-01-15,13572000,ESPALHA (Seringal Belo Horizonte),897.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,15,1,Friday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-16,13572000,ESPALHA (Seringal Belo Horizonte),905.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,16,1,Saturday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-17,13572000,ESPALHA (Seringal Belo Horizonte),912.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,17,1,Sunday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-18,13572000,ESPALHA (Seringal Belo Horizonte),923.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,18,1,Monday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-19,13572000,ESPALHA (Seringal Belo Horizonte),931.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,19,1,Tuesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-20,13572000,ESPALHA (Seringal Belo Horizonte),942.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,20,1,Wednesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-21,13572000,ESPALHA (Seringal Belo Horizonte),954.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,21,1,Thursday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-22,13572000,ESPALHA (Seringal Belo Horizonte),964.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,22,1,Friday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-23,13572000,ESPALHA (Seringal Belo Horizonte),972.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,23,1,Saturday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-24,13572000,ESPALHA (Seringal Belo Horizonte),979.5,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,24,1,Sunday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-25,13572000,ESPALHA (Seringal Belo Horizonte),986.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,25,1,Monday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
2021-01-26,13572000,ESPALHA (Seringal Belo Horizonte),990.0,,,RIOZINHO DA ROLA ou RIO BRANCO,AC,RIO BRANCO,RIO AMAZONAS,"RIO SOLIMÕES,PURUS,COARI,..",-10.005,-68.5294,,3210.0,2021,1,26,1,Tuesday,cheia,convencional,1,1,31,1,1015.0,901.0,1,660.0,ACRE,1
