uf,AnoMes,cota_media_cm,cota_max_cm,cota_min_cm,n_estacoes,n_dias,anp_preco_diesel,anp_preco_diesel_s10,anp_preco_etanol,anp_preco_gasolina,anp_preco_gasolina_aditivada,anp_preco_glp,anp_preco_gnv,anp_regional_diesel,anp_regional_diesel_s10,anp_regional_etanol,anp_regional_gasolina,anp_regional_gasolina_aditivada,anp_regional_glp,anp_regional_gnv
AC,2021-01,970.9301075268817,1285.0,662.5,3,93,4.6868475,4.73294911014911,4.046467063492064,5.268687041003308,5.325441959706959,93.88618834933183,,4.0306359733326325,4.097938956139686,3.7384937237506044,4.625921550620133,4.808965417972832,88.52851175146742,3.49
AC,2021-02,1277.4583333333333,1708.0,932.0,3,84,4.966420471380471,5.004869421440073,4.208336635860484,5.652584589186888,5.739180429615852,98.53117883022774,,4.291450662890792,4.328450628671984,3.960660762727071,5.037741045228972,5.2083347710803025,91.32004320638964,3.58
AC,2021-03,1050.1290322580646,1368.0,708.0,3,93,5.495517105697498,5.516771572010446,5.382885668498169,6.306352769238277,6.371437441643324,103.44005042800238,,4.6877190869518675,4.669514060186385,4.568026111697581,5.536910938641759,5.712585496646497,94.50033443111917,3.83375
AC,2021-04,949.9277777777778,1246.0,718.0,3,90,5.414535159774436,5.440885308183103,5.514267156862745,6.405361445644149,6.434884712837838,104.92099899213073,,4.6696813114047515,4.6558130198640395,4.614922589886149,5.633851312342495,5.7963817138072065,96.05720961086935,3.815
AC,2021-05,448.39784946236557,904.0,244.0,3,93,5.720596565934065,5.754899947089948,5.670376349206349,6.551505491698594,6.589912709401709,105.60826811594202,,4.854627915487781,4.8665214125641105,4.802563915011602,5.645794709298926,5.805126393376977,96.49608289557258,3.724
AC,2021-06,286.3602941176471,479.0,187.5,3,68,5.758178766025641,5.792745337301588,5.818934640522876,6.57716933497537,6.612936401895206,106.48105472426124,,4.878190085067556,4.887618289259449,4.946633553332527,5.708289026224666,5.837269678788515,98.22401051638097,3.79
AC,2021-07,175.4784946236559,270.0,111.0,3,93,5.799059382284382,5.831547460212202,5.845988562091503,6.617801108374384,6.659755117753623,111.52424830604178,,4.966497903649048,4.967964334194116,5.133783768565031,5.9253351603672595,6.050995212885785,102.75194478710849,3.7900000000000005
AC,2021-08,144.15591397849462,182.0,97.0,3,93,5.816682734265735,5.850259981684982,5.914241962669683,6.692115300258034,6.742848824915825,112.87470885093167,,4.988971206026006,5.00485858462129,5.249374754745953,6.0347218698262735,6.170653159358516,104.33250525869244,3.9900000000000007
AC,2021-09,120.90555555555555,177.5,86.5,3,90,5.845862868589744,5.869783251231527,6.041693474264706,6.753568965517242,6.802014472934474,114.5163043478261,,5.102039313069069,5.115281527715343,5.381359082094376,6.162294643049819,6.2818001455348975,106.52942486168314,3.99
AC,2021-10,139.3978494623656,250.0,71.0,3,93,6.053354462792642,6.072050526819924,6.144821526472431,6.9055274014778325,6.956370886752137,116.82979249011858,,5.375066951587211,5.389165222987979,5.460207879059269,6.369576205834163,6.484618549265359,108.74949778296732,3.99
AC,2021-11,308.18333333333334,644.0,126.5,3,90,6.37217790821256,6.393357692307693,6.385387843137255,7.279305970625797,7.319983051282051,118.04545454545455,,5.717858227441429,5.7343282989836775,5.8476189174652,6.77119217146655,6.8964262736426365,110.73804681301439,4.140000000000001
AC,2021-12,774.0698924731183,1115.0,411.0,3,93,6.374946762820513,6.40223308930852,6.424510590277778,7.262145434227331,7.307982354375697,118.25,,5.727105326254257,5.744841585707837,5.941784242451399,6.7682862757217634,6.899221541622364,111.35750320670466,4.19
AC,2022-01,645.2956989247311,1117.5,304.5,3,93,6.449073835005575,6.470241143530799,6.381371802054155,7.259293979200876,7.312460826210827,118.35670995670996,,5.857857796840187,5.86844966425108,5.926692287940488,6.792801191706983,6.93487045292053,112.09407309896679,4.304
AC,2022-02,974.75,1388.5,594.5,3,84,6.508462606837607,6.531991728418452,6.331518032212886,7.188236453201971,7.237419871794872,118.29224308300395,,5.921371656057195,5.950386167834405,5.862254860516538,6.789842563558382,6.927185401363342,112.34528913858205,4.38
AC,2022-03,1021.1559139784946,1656.5,550.5,3,93,7.295264583333333,7.345703571428571,6.443923115079365,7.500010562713149,7.560916417378917,127.3475790513834,,6.739581876802739,6.777025501981705,5.9096396998621605,7.254108108616769,7.388010932509287,120.65760223507729,4.38
AC,2022-04,804.4777777777778,1758.0,290.0,3,90,7.614133653846154,7.684676769750046,6.550453125000001,7.629099137931034,7.70001858974359,131.0,,6.941865813157897,6.9908700494654035,6.044624105395281,7.386622750074068,7.531162789806389,124.04633601017042,4.38
AC,2022-05,297.02150537634407,668.0,182.0,3,93,7.878876666666668,7.939303398453399,6.569402012383901,7.738733251231527,7.788466387959867,130.49705383022774,,7.187006336776986,7.239562885824422,6.156721790946449,7.387959018796968,7.542921195868783,123.78013350759117,4.38
AC,2022-06,261.24444444444447,814.0,147.0,3,90,8.306947916666667,8.353355972730974,6.577672149122807,7.760532418810436,7.818159420289855,131.26528220873328,,7.577693947055666,7.625346649122147,6.06349719648851,7.404323545544602,7.555374421143998,123.69506918021912,4.38
AC,2022-07,158.4516129032258,235.5,106.0,3,93,8.435125568181817,8.475790263041556,5.916288135319918,6.691292685921996,6.752772727272728,130.3225543478261,,7.817077531763093,7.869336829450452,5.638382827529056,6.326994592112075,6.459933315573355,123.67293520078475,4.1899999999999995
AC,2022-08,148.00537634408602,226.0,99.0,3,93,8.16119027972028,8.189554016672982,5.407212207602339,6.204306403940887,6.256015445134576,129.2076416337286,,7.522607439537248,7.5735864379598725,5.099178622456158,5.684597274670895,5.811554853189994,122.57036898368366,3.9900000000000007
AC,2022-09,89.91111111111111,188.0,38.0,3,90,8.106,7.938974137931035,5.090277777777778,5.938810344827586,6.003782051282052,126.88043478260869,,7.106573179843043,7.170837338194363,4.596911148016227,5.224141214715941,5.372933961582764,121.31639598365929,3.99
AC,2022-10,151.58602150537635,356.0,39.0,3,93,7.443038383838383,7.483939393939394,4.212321428571428,5.299545454545455,5.366363636363636,124.50464798359535,,6.851533146257284,6.894129427936882,4.168690773520167,4.982590670945152,5.22214296143679,116.82996202336672,3.99
AC,2022-11,175.08333333333334,636.0,40.5,3,90,7.463229895104895,7.500641025641026,4.277930555555556,5.366593406593407,5.448857600732601,123.16969696969699,,6.940164722397682,6.982566509586614,4.230976542976962,5.050542970807889,5.203960325405906,118.10311139889839,4.140000000000001
AC,2022-12,445.21505376344084,910.0,148.5,3,93,7.44927738927739,7.490984848484849,4.313869047619048,5.378632478632479,5.463892773892774,122.56734006734007,,6.807809248905041,6.852269594629509,4.311574130901751,4.997070283810046,5.1630409546829865,120.42257880067409,4.19
AC,2023-01,788.505376344086,1048.0,561.0,3,93,7.222609848484849,7.2557386363636365,4.380875,5.291671245421245,5.376382575757576,120.38335428012849,,6.740677135903113,6.814928493961704,4.398142755510605,5.153704260991447,5.325261225144142,120.13989981633532,4.19
AC,2023-02,917.0595238095239,1230.0,619.5,3,84,7.19670412920413,7.22800283050283,4.813979591836735,5.8149999999999995,5.848855311355311,114.85837304496579,,6.498822787194913,6.569205849078703,4.393461571873226,5.311496940142796,5.493624336283186,120.8395740568898,4.19
AC,2023-03,956.263440860215,1825.0,461.5,3,93,7.117811355311355,7.143452380952381,4.829353741496599,6.356462585034014,6.386666666666666,121.00071022727273,,6.372120185074916,6.399591955803237,4.635525093499446,5.851294587837982,6.030203170880501,120.49055745642369,4.353750000000001
AC,2023-04,1044.4555555555555,1800.0,631.0,3,90,6.9342424242424245,6.972487179487179,4.609214285714286,6.263214285714285,6.297222222222222,120.48057487591431,,6.295801767370443,6.348222949420083,4.72075703532126,5.900284915229449,6.08126572154104,120.56134008565719,4.390000000000001
AC,2023-05,484.64516129032256,757.0,228.0,3,93,6.558968253968254,6.5127904040404045,4.93719387755102,6.348846153846154,6.392370129870129,119.53638257575759,,5.838927478655622,5.878195554434464,4.7690888589338645,5.822915189686482,5.995931741493122,120.29832813702733,4.15
AC,2023-06,251.6611111111111,611.0,87.5,3,90,6.246008522727273,6.298570436507936,4.984196428571429,6.233773809523809,6.273901862026862,116.11597257916813,,5.416394551751003,5.450143994497113,4.65106426987902,5.727668284076236,5.883390447189714,117.13838372490603,3.94
AC,2023-07,150.38172043010752,247.0,7.5,3,93,6.306812121212121,6.368511904761904,5.225,6.621928571428572,6.676179487179487,115.75935606060607,,5.370430265865164,5.390926474191413,4.799604529531013,5.98305665927424,6.122751425429042,115.76255174900434,4.49
AC,2023-08,103.50537634408602,221.5,12.0,3,93,6.777193181818182,6.856358225108226,5.258861607142857,6.876710164835165,6.918998397435898,115.43697916666666,,5.944851507879409,6.074199770622374,4.783516682014624,6.1986195973507,6.342633590233398,114.46732260494119,4.49
AC,2023-09,97.85,189.0,11.0,3,90,7.264577651515151,7.32583257020757,5.261210317460318,7.043650793650794,7.091115384615385,114.65722516730581,,6.434168756097023,6.5711895831845055,4.793178839920632,6.336100070194636,6.47814690485837,114.36652596368128,4.49
AC,2023-10,115.6989247311828,186.0,44.5,3,93,7.376507692307692,7.419218847818849,5.245476190476191,7.03725974025974,7.0842833333333335,116.30525578364288,,6.51677480574658,6.621889109426201,4.724265149603461,6.2670663271280205,6.417082808294796,115.762303729906,4.49
AC,2023-11,110.67777777777778,306.0,31.0,3,90,7.3903617424242425,7.440788836163836,5.249319444444445,7.034464285714286,7.079399038461538,116.51992424242425,,6.5632869605791555,6.621307060679303,4.632630806693727,6.218089401385495,6.363367583711688,117.20903185315386,4.49
AC,2023-12,379.98924731182797,827.0,64.0,3,93,7.3684102564102565,7.427850808913309,5.240861111111111,7.037922619047619,7.1220625,117.23374125874126,,6.444244768709533,6.4728441629777755,4.537545725108226,6.123453384066638,6.278462235564097,116.59191985898954,4.49
AC,2024-01,685.1075268817204,1180.0,316.0,3,93,7.449875524475525,7.483261155511156,5.230088888888889,7.027302197802198,7.087576923076924,116.98307814992026,,6.412370078425477,6.378402530939859,4.391963323132425,5.998390169260451,6.14151443466985,116.14958459623126,4.590000000000001
AC,2024-02,841.7732558139535,1682.0,298.0,3,86,7.5365164835164835,7.574514652014652,5.240579861111112,7.1554464285714285,7.2263862179487175,117.64646464646465,,6.412249590259324,6.37557601964898,4.365987821529246,6.119273918290201,6.2757659136558885,116.68388972000005,4.1775
AC,2024-03,811.5569620253165,1786.5,337.0,3,79,7.48637706043956,7.534434523809524,5.231597222222222,7.156919642857143,7.22625,118.1594696969697,,6.39654371293118,6.34915404620825,4.370262152443382,6.137267690204961,6.305956898638614,116.69104791108647,3.99
AC,2024-04,530.8666666666667,655.0,203.0,3,90,7.423166463166463,7.46010101010101,5.235416666666667,7.041017857142857,7.098197435897435,117.8405451694363,,6.363968666494209,6.323741006297792,4.43806753443751,6.19236794078012,6.350332350344203,116.77536132347363,4.59
AC,2024-05,364.68589743589746,660.0,148.0,3,78,7.344083791208791,7.377954545454545,5.166875,7.0649999999999995,7.110775058275058,117.30484532828282,,6.3299859486015615,6.321740716897096,4.488248099740668,6.2208028389147065,6.37040451234087,116.89991292190084,4.59
AC,2024-06,154.55113636363637,289.0,48.5,3,88,7.294179258241758,7.3219119942557445,5.048715277777777,7.097723214285714,7.156856060606061,117.50239898989899,,6.313981780944571,6.3120841716656075,4.488431768944704,6.244768353834772,6.377012595018437,117.47333878656505,4.59
AC,2024-07,99.87096774193549,185.0,21.0,3,93,7.4013928571428576,7.425069191919192,5.097043006993007,7.266678571428571,7.3344597069597075,116.84197226783434,,6.441519542884144,6.430511258683957,4.652694326733373,6.471229878107438,6.636318403145843,120.00772364529598,4.75
AC,2024-08,72.7,147.0,22.0,3,80,7.475476190476191,7.503122023809524,5.133276515151515,7.356651785714286,7.427427884615385,119.07022727272727,,6.489240558634817,6.466875287026475,4.79332772849577,6.579623653198653,6.782766920218776,120.31472409777254,4.99
AC,2024-09,81.87777777777778,140.0,35.0,3,90,7.4763714285714284,7.497280555555555,5.085433333333333,7.339889430014431,7.454917989417989,119.73273915626855,,6.457515265677611,6.4227171057248,4.768408351715705,6.541472028990843,6.754571975710908,120.9630432999123,4.99
AC,2024-10,113.54838709677419,350.0,30.0,3,93,7.572922077922078,7.6051550324675325,5.1290044191919195,7.440710164835165,7.506923493173493,122.05234593837535,,6.57493536637177,6.516772645736071,4.826704759198365,6.618372766502525,6.832296546654242,122.28040957654608,4.99
AC,2024-11,235.6,635.0,60.0,3,90,7.65875,7.681291666666667,5.307125,7.537375,7.5949583333333335,122.02432983682984,,6.549918533660599,6.538593525118612,4.86035097064394,6.672649176545632,6.8636691558763765,123.49145342827349,4.99
AC,2024-12,538.516129032258,1155.0,58.0,3,93,7.728746031746032,7.750749999999999,5.390625000000001,7.589745454545455,7.632900000000001,121.06666666666668,,6.672388799304218,6.606575806661903,4.919080161635807,6.723644914365953,6.916988660534296,123.69528431957274,4.99
AC,2025-01,480.1290322580645,805.0,228.0,3,93,7.5986666666666665,7.67097619047619,5.347358630952381,7.491333333333333,7.562347222222222,122.2948717948718,,6.650590133071402,6.601370632621297,4.924964161667292,6.697007502374886,6.883382754134766,119.90913470940586,4.99
AC,2025-02,811.077380952381,1192.5,258.0,3,84,7.873726190476191,7.9052291666666665,5.579461805555556,7.752090909090909,7.8185656565656565,122.65665934065935,,6.8830070210587735,6.833018051231025,5.090391115235887,6.857362855295131,7.034985897761595,119.87711506885239,5.24
AC,2025-03,1181.8763440860216,1689.5,705.5,3,93,7.974067063492063,8.015107142857143,5.689996825396825,7.864620454545454,7.921133333333333,124.80622710622711,,6.860038903615811,6.821643998013788,5.126541640580496,6.8289349786184586,7.0115959233513365,121.53577911342374,5.49
AC,2025-04,750.1555555555556,1107.0,402.5,3,90,7.971318027210884,8.013857142857143,5.724413265306123,7.870712739641312,7.957318027210884,124.7558869701727,,6.733979132023859,6.725599904023376,5.102830206742699,6.767935189859801,6.945026719416607,121.64522211324731,5.49
AC,2025-05,410.005376344086,885.5,170.0,3,93,7.872971655328798,7.929047619047618,5.65014739229025,7.8318659554730985,7.883611317254174,124.25457875457873,,6.643573668802928,6.608264904672824,5.07738056255382,6.722771095014045,6.900962333961987,122.57950346319167,5.49
AC,2025-06,178.96666666666667,332.0,73.5,3,90,7.878657142857142,7.922319047619046,5.65818253968254,7.820379870129871,7.892795238095237,123.10681318681317,,6.56088799557306,6.521483303805039,5.078330797831329,6.7096139321574215,6.87755384077029,121.30458815773027,5.49
AC,2025-07,107.83333333333333,202.0,29.0,3,93,7.8926145124716545,7.933326530612244,5.697800453514739,7.841651515151516,7.914061224489797,121.71794871794872,,6.553028559589331,6.514206061250524,5.070618805758678,6.695439880205311,6.891463578939997,123.64868300464288,5.49
AC,2025-08,83.34482758620689,160.0,18.0,3,87,7.889214285714286,7.9311122448979585,5.664880952380953,7.819265306122449,7.892095238095238,122.00603318250377,,6.530328443466202,6.468857183099171,5.039055307422705,6.636570685133185,6.849917610236576,123.18805028415673,4.890000000000001
AC,2025-09,85.21111111111111,254.0,18.0,3,90,7.774916666666666,7.813718253968253,5.613481481481482,7.717969135802469,7.780697530864198,121.90769230769233,,6.5028689771592285,6.4683528041683,5.091534731623417,6.672492451181762,6.8679418000002155,121.36520578742375,4.59
AC,2025-10,110.56989247311827,276.0,24.0,3,93,7.735841269841269,7.78079365079365,5.638857142857143,7.656190476190476,7.7161904761904765,122.6772575250836,,6.487165985951416,6.444526444242442,5.102605038370465,6.65542863297635,6.840468528583651,122.54010206329836,3.99
AC,2025-11,206.42777777777778,588.5,40.0,3,90,7.766107638888889,7.813482142857143,5.608826388888889,7.633569444444444,7.720159722222222,123.27445652173913,,6.5018023233328925,6.444222928182043,5.123789698364009,6.632575180645982,6.81570663470924,122.07278779495454,3.99
AC,2025-12,799.5967741935484,1537.0,280.5,3,93,7.752348484848485,7.79599537037037,5.6188518518518515,7.623745726495726,7.723132478632478,125.72463768115942,,6.505599624644593,6.464986883695109,5.164536908104061,6.673178774188017,6.8501758242953965,122.15009472319093,3.9900000000000007
AC,2026-01,1115.467741935484,1552.0,79.0,3,93,7.590159932659933,7.637732142857143,5.477171717171718,7.482790598290598,7.565923076923077,124.39690382081687,,6.538993660547441,6.51235847532367,5.228248864633077,6.742938630743399,6.921330691910291,123.03765926721337,3.99
AC,2026-02,917.9583333333334,1533.0,542.5,3,84,7.716944444444445,7.751319444444444,5.587625661375661,7.587245370370371,7.689537037037037,125.35507246376811,,6.523458679853654,6.5232608212693695,5.282523297783856,6.7157889399123025,6.91792714306148,123.213343547926,3.99
AC,2026-03,948.1290322580645,1386.0,677.5,3,93,8.205560897435896,8.51433712121212,5.9005624999999995,7.903318452380953,8.00099358974359,126.52864583333334,,7.254288975398114,7.30766653209542,5.439997309232224,7.107829737309828,7.27259212743935,123.7463439190445,3.99
AC,2026-04,988.8222222222222,1382.0,670.0,3,90,8.34051893939394,8.557060185185184,5.859652777777778,7.915018939393939,7.999299242424243,125.34660973084887,,7.577173834042674,7.665833825458511,5.457495282047608,7.245709580952961,7.417139076327258,125.38176102876594,4.99
AC,2026-05,598.4032258064516,1006.0,166.5,3,93,8.041644444444444,8.15647619047619,5.544355555555556,7.572439393939393,7.662015151515152,123.63290513833992,,7.409557364145475,7.499057273438067,5.3598796068741965,7.11768303074121,7.321843391794301,125.94057510731912,4.99
AC,2026-08,126.71111111111111,238.0,41.0,3,45,8.159011904761906,8.570581632653061,5.624789682539683,7.782261904761905,7.871285714285714,126.88899196042053,,7.1105572247625535,7.284635514310511,5.068842500083822,7.108921984381726,7.315647025731834,126.8227544228191,4.99
AC,2026-09,105.05128205128206,278.0,26.0,3,39,,,,,,,,,,,,,,
