AnoMes,Natureza da Carga,Sentido,ToneladasMovimentadas
2020-10,Carga Geral,Embarcados,76632.619
2020-10,Granel Líquido e Gasoso,Desembarcados,470285.968
2020-10,Granel Líquido e Gasoso,Embarcados,400766.104
2020-10,Granel Líquido e Gasoso,Não Informado,2384.381
2020-10,Granel Sólido,Desembarcados,234846.507
2020-10,Granel Sólido,Embarcados,238380.085
2020-11,Carga Conteinerizada,Desembarcados,430910.143
2020-11,Carga Conteinerizada,Embarcados,219381.152
2020-11,Carga Geral,Desembarcados,219126.91
2020-11,Carga Geral,Embarcados,89473.206
2020-11,Granel Líquido e Gasoso,Desembarcados,474781.665
2020-11,Granel Líquido e Gasoso,Embarcados,358797.594
2020-11,Granel Líquido e Gasoso,Não Informado,2276.801
2020-11,Granel Sólido,Desembarcados,191964.127
2020-11,Granel Sólido,Embarcados,198560.805
2020-12,Carga Conteinerizada,Desembarcados,482566.908
2020-12,Carga Conteinerizada,Embarcados,187730.533
2020-12,Carga Conteinerizada,Não Informado,268.1
2020-12,Carga Geral,Desembarcados,176206.757
2020-12,Carga Geral,Embarcados,83551.389
2020-12,Granel Líquido e Gasoso,Desembarcados,502013.876
2020-12,Granel Líquido e Gasoso,Embarcados,325223.378
2020-12,Granel Líquido e Gasoso,Não Informado,4963.775
2020-12,Granel Sólido,Desembarcados,408236.592
2020-12,Granel Sólido,Embarcados,375250.632
2021-01,Carga Conteinerizada,Desembarcados,482126.055
2021-01,Carga Conteinerizada,Embarcados,225960.3
2021-01,Carga Conteinerizada,Não Informado,19.2
2021-01,Carga Geral,Desembarcados,170558.886
2021-01,Carga Geral,Embarcados,59465.552
2021-01,Granel Líquido e Gasoso,Desembarcados,408418.569
2021-01,Granel Líquido e Gasoso,Embarcados,311602.802
2021-01,Granel Líquido e Gasoso,Não Informado,4132.757
2021-01,Granel Sólido,Desembarcados,315858.121
2021-01,Granel Sólido,Embarcados,265004.325
2021-02,Carga Conteinerizada,Desembarcados,435082.455
2021-02,Carga Conteinerizada,Embarcados,192064.174
2021-02,Carga Geral,Desembarcados,186269.142
2021-02,Carga Geral,Embarcados,53521.081
2021-02,Granel Líquido e Gasoso,Desembarcados,471132.462
2021-02,Granel Líquido e Gasoso,Embarcados,272482.63
2021-02,Granel Líquido e Gasoso,Não Informado,6401.5689999999995
2021-02,Granel Sólido,Desembarcados,470969.623
2021-02,Granel Sólido,Embarcados,565581.172
2021-03,Carga Conteinerizada,Desembarcados,418752.743
2021-03,Carga Conteinerizada,Embarcados,242543.983
2021-03,Carga Conteinerizada,Não Informado,6.61
2021-03,Carga Geral,Desembarcados,166919.814
2021-03,Carga Geral,Embarcados,79209.234
2021-03,Granel Líquido e Gasoso,Desembarcados,380505.901
2021-03,Granel Líquido e Gasoso,Embarcados,322175.906
2021-03,Granel Líquido e Gasoso,Não Informado,4564.164
2021-03,Granel Sólido,Desembarcados,636462.597
2021-03,Granel Sólido,Embarcados,549397.276
2021-04,Carga Conteinerizada,Desembarcados,368446.849
2021-04,Carga Conteinerizada,Embarcados,156199.067
2021-04,Carga Conteinerizada,Não Informado,25.18
2021-04,Carga Geral,Desembarcados,141928.044
2021-04,Carga Geral,Embarcados,71948.979
2021-04,Granel Líquido e Gasoso,Desembarcados,485260.301
2021-04,Granel Líquido e Gasoso,Embarcados,338140.305
2021-04,Granel Líquido e Gasoso,Não Informado,3539.078
2021-04,Granel Sólido,Desembarcados,577040.661
2021-04,Granel Sólido,Embarcados,461828.005
2021-05,Carga Conteinerizada,Desembarcados,438407.263
2021-05,Carga Conteinerizada,Embarcados,187755.929
2021-05,Carga Geral,Desembarcados,188122.812
2021-05,Carga Geral,Embarcados,125489.763
2021-05,Granel Líquido e Gasoso,Desembarcados,506455.615
2021-05,Granel Líquido e Gasoso,Embarcados,396247.781
2021-05,Granel Líquido e Gasoso,Não Informado,3733.977
2021-05,Granel Sólido,Desembarcados,537384.512
2021-05,Granel Sólido,Embarcados,546444.118
2021-06,Carga Conteinerizada,Desembarcados,507841.571
2021-06,Carga Conteinerizada,Embarcados,244789.714
2021-06,Carga Conteinerizada,Não Informado,106.28999999999999
2021-06,Carga Geral,Desembarcados,225909.025
2021-06,Carga Geral,Embarcados,121732.289
2021-06,Granel Líquido e Gasoso,Desembarcados,465004.169
2021-06,Granel Líquido e Gasoso,Embarcados,388120.769
2021-06,Granel Líquido e Gasoso,Não Informado,3438.771
2021-06,Granel Sólido,Desembarcados,599639.771
2021-06,Granel Sólido,Embarcados,475366.776
2021-07,Carga Conteinerizada,Desembarcados,464570.44
2021-07,Carga Conteinerizada,Embarcados,208471.00400000002
2021-07,Carga Conteinerizada,Não Informado,101.8
2021-07,Carga Geral,Desembarcados,263521.821
2021-07,Carga Geral,Embarcados,70953.688
2021-07,Granel Líquido e Gasoso,Desembarcados,545558.794
2021-07,Granel Líquido e Gasoso,Embarcados,429934.551
2021-07,Granel Líquido e Gasoso,Não Informado,1613.998
2021-07,Granel Sólido,Desembarcados,565172.827
2021-07,Granel Sólido,Embarcados,496843.191
2021-08,Carga Conteinerizada,Desembarcados,464557.783
2021-08,Carga Conteinerizada,Embarcados,227673.105
2021-08,Carga Geral,Desembarcados,153854.315
2021-08,Carga Geral,Embarcados,83153.695
2021-08,Granel Líquido e Gasoso,Desembarcados,513332.248
2021-08,Granel Líquido e Gasoso,Embarcados,358831.169
2021-08,Granel Líquido e Gasoso,Não Informado,3172.634
2021-08,Granel Sólido,Desembarcados,414373.96
2021-08,Granel Sólido,Embarcados,439167.398
2021-09,Carga Conteinerizada,Desembarcados,485599.16
2021-09,Carga Conteinerizada,Embarcados,219721.542
2021-09,Carga Conteinerizada,Não Informado,4.0
2021-09,Carga Geral,Desembarcados,153161.619
2021-09,Carga Geral,Embarcados,74956.489
2021-09,Granel Líquido e Gasoso,Desembarcados,476506.667
2021-09,Granel Líquido e Gasoso,Embarcados,283966.175
2021-09,Granel Líquido e Gasoso,Não Informado,4581.825
2021-09,Granel Sólido,Desembarcados,338330.28500000003
2021-09,Granel Sólido,Embarcados,235555.78100000002
2021-10,Carga Conteinerizada,Desembarcados,494917.472
2021-10,Carga Conteinerizada,Embarcados,220990.983
2021-10,Carga Conteinerizada,Não Informado,118.0
2021-10,Carga Geral,Desembarcados,183504.948
2021-10,Carga Geral,Embarcados,81924.198
2021-10,Granel Líquido e Gasoso,Desembarcados,553611.173
2021-10,Granel Líquido e Gasoso,Embarcados,341768.79
2021-10,Granel Líquido e Gasoso,Não Informado,4644.105
2021-10,Granel Sólido,Desembarcados,218832.448
2021-10,Granel Sólido,Embarcados,78735.47
2021-11,Carga Conteinerizada,Desembarcados,419076.791
2021-11,Carga Conteinerizada,Embarcados,231736.697
2021-11,Carga Conteinerizada,Não Informado,127.82
2021-11,Carga Geral,Desembarcados,286433.28
2021-11,Carga Geral,Embarcados,76569.538
