municipio_ceasa,cod_ibge_municipio,uf_ceasa,dsc_ceasa,dsc_produto,sig_unidade_medida,data_preco,preco_diario
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/15 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/03 00:00:00.000,4.66
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/25 00:00:00.000,4.74
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/10 00:00:00.000,5.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/27 00:00:00.000,4.07
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/24 00:00:00.000,4.95
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/08 00:00:00.000,5.01
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/17 00:00:00.000,4.63
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/22 00:00:00.000,4.56
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/05 00:00:00.000,4.91
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/08/31 00:00:00.000,5.31
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/12 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/21 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/14 00:00:00.000,4.62
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/20 00:00:00.000,3.75
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/07 00:00:00.000,5.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/17 00:00:00.000,4.68
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/19 00:00:00.000,5.33
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/09/26 00:00:00.000,4.12
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/03 00:00:00.000,4.12
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/10 00:00:00.000,4.91
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/11/09 00:00:00.000,5.18
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/11/07 00:00:00.000,4.53
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/26 00:00:00.000,4.53
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/10/24 00:00:00.000,3.08
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/11/23 00:00:00.000,4.56
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/11/30 00:00:00.000,4.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/11/21 00:00:00.000,4.48
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/09 00:00:00.000,7.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/04 00:00:00.000,6.1
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/17 00:00:00.000,7.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/18 00:00:00.000,6.25
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/23 00:00:00.000,6.17
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/11 00:00:00.000,7.03
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/25 00:00:00.000,5.82
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/02/06 00:00:00.000,4.96
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/02/13 00:00:00.000,4.87
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/01/30 00:00:00.000,6.07
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/12/21 00:00:00.000,5.58
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/12/07 00:00:00.000,4.5
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/12/05 00:00:00.000,5.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/12/14 00:00:00.000,5.58
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/02/15 00:00:00.000,6.49
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/02/27 00:00:00.000,5.26
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/04/13 00:00:00.000,4.09
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/03/01 00:00:00.000,4.4
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/03/15 00:00:00.000,4.34
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/03/08 00:00:00.000,7.17
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/03/30 00:00:00.000,4.01
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/04/05 00:00:00.000,3.95
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/03/22 00:00:00.000,4.26
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/05/10 00:00:00.000,4.31
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/05/18 00:00:00.000,4.03
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/05/17 00:00:00.000,4.03
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/05/23 00:00:00.000,3.94
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/07/03 00:00:00.000,4.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/06/22 00:00:00.000,5.4
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/06/01 00:00:00.000,4.29
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2023/06/27 00:00:00.000,4.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/14 00:00:00.000,4.0
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/07 00:00:00.000,5.06
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/12 00:00:00.000,5.32
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/05 00:00:00.000,5.26
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/26 00:00:00.000,5.15
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/03/28 00:00:00.000,5.22
BELÉM-PA,1501402,PA,CEASA/PA - BELEM,ABACATE,KG,2024/05/09 00:00:00.000,4.57
