produto,classificao_produto,id_produto,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg
18-18-18,NÃO INFORMADO,13182,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,5.0
18-18-18,NÃO INFORMADO,13182,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,5.0
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO PAGO PELO PROD,3.22
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2026,3,09-03-2026 - 13-03-2026,2,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2026,3,16-03-2026 - 20-03-2026,3,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2026,3,02-03-2026 - 06-03-2026,1,PREÇO PAGO PELO PROD,3.12
20-00-15,YARA BELA PLUS YARA,14038,TO,NORTE,2026,3,23-03-2026 - 27-03-2026,4,PREÇO PAGO PELO PROD,3.12
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,3.54
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO PAGO PELO PROD,4.77
20-00-20,NÃO INFORMADO,4521,RO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,4.77
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO PAGO PELO PROD,4.7
20-05-20,NÃO INFORMADO,4523,RO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO PAGO PELO PROD,4.7
ABACAXI,PÉROLA,6320,AC,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,2.85
ABACAXI,PÉROLA,6320,AC,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,2.83
ABACAXI,PÉROLA,6320,AC,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,2.87
ABACAXI,PÉROLA,6320,AC,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,2.85
ABACAXI,PÉROLA,6320,AM,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,7.7
ABACAXI,PÉROLA,6320,AM,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,7.83
ABACAXI,PÉROLA,6320,AM,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,8.5
ABACAXI,PÉROLA,6320,AM,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,8.6
ABACAXI,PÉROLA,6320,AP,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,AP,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,AP,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PA,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,PÉROLA,6320,RO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,PÉROLA,6320,RO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,4.02
ABACAXI,PÉROLA,6320,RO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,4.02
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,6.0
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,PÉROLA,6320,TO,NORTE,2025,9,15-09-2025 - 19-09-2025,3,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,9,01-09-2025 - 05-09-2025,1,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,9,22-09-2025 - 26-09-2025,4,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,9,08-09-2025 - 12-09-2025,2,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,2.87
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,2.87
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,2.87
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,2.85
ABACAXI,PÉROLA,6320,AC,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,2.85
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,9.0
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,9.5
ABACAXI,PÉROLA,6320,AM,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,3.2
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,PÉROLA,6320,AP,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,3.3
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,4.21
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,4.21
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,4.26
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,4.16
ABACAXI,PÉROLA,6320,RO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,6.6
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,27-10-2025 - 31-10-2025,5,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,06-10-2025 - 10-10-2025,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,13-10-2025 - 17-10-2025,3,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,20-10-2025 - 24-10-2025,4,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,10,29-09-2025 - 03-10-2025,1,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,AC,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,AC,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,AC,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,2.83
ABACAXI,PÉROLA,6320,AC,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,AM,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AM,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AM,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,9.5
ABACAXI,PÉROLA,6320,AM,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,8.7
ABACAXI,PÉROLA,6320,AP,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PA,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,0.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,4.26
ABACAXI,PÉROLA,6320,RO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,PÉROLA,6320,RO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,4.12
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,6.5
ABACAXI,PÉROLA,6320,TO,NORTE,2025,11,03-11-2025 - 07-11-2025,1,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,11,10-11-2025 - 14-11-2025,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,11,17-11-2025 - 21-11-2025,3,PREÇO RECEBIDO P/ PR,4.4
ABACAXI,PÉROLA,6320,TO,NORTE,2025,11,24-11-2025 - 28-11-2025,4,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,3.07
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,3.07
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,2.97
ABACAXI,PÉROLA,6320,AC,NORTE,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,3.07
ABACAXI,PÉROLA,6320,AM,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,10.33
ABACAXI,PÉROLA,6320,AM,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,9.5
ABACAXI,PÉROLA,6320,AM,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,10.33
ABACAXI,PÉROLA,6320,AP,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,1.33
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,1.33
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,1.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,1.67
ABACAXI,PÉROLA,6320,PA,NORTE,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,1.67
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,4.02
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,4.04
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,4.06
ABACAXI,PÉROLA,6320,RO,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,4.11
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,2.8
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,6.0
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,6.0
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,3.0
ABACAXI,IMPERIAL,14887,RR,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,6.0
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,29-12-2025 - 02-01-2026,5,PREÇO RECEBIDO P/ PR,4.6
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,01-12-2025 - 05-12-2025,1,PREÇO RECEBIDO P/ PR,4.4
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,08-12-2025 - 12-12-2025,2,PREÇO RECEBIDO P/ PR,4.6
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,15-12-2025 - 19-12-2025,3,PREÇO RECEBIDO P/ PR,4.6
ABACAXI,PÉROLA,6320,TO,NORTE,2025,12,22-12-2025 - 26-12-2025,4,PREÇO RECEBIDO P/ PR,4.6
ABACAXI,PÉROLA,6320,AC,NORTE,2026,1,19-01-2026 - 23-01-2026,3,PREÇO RECEBIDO P/ PR,4.4
ABACAXI,PÉROLA,6320,AC,NORTE,2026,1,26-01-2026 - 30-01-2026,4,PREÇO RECEBIDO P/ PR,4.4
ABACAXI,PÉROLA,6320,AC,NORTE,2026,1,12-01-2026 - 16-01-2026,2,PREÇO RECEBIDO P/ PR,4.44
ABACAXI,PÉROLA,6320,AM,NORTE,2026,1,19-01-2026 - 23-01-2026,3,PREÇO RECEBIDO P/ PR,9.95
ABACAXI,PÉROLA,6320,AM,NORTE,2026,1,12-01-2026 - 16-01-2026,2,PREÇO RECEBIDO P/ PR,9.95
ABACAXI,PÉROLA,6320,AM,NORTE,2026,1,26-01-2026 - 30-01-2026,4,PREÇO RECEBIDO P/ PR,8.11
ABACAXI,PÉROLA,6320,AM,NORTE,2026,1,05-01-2026 - 09-01-2026,1,PREÇO RECEBIDO P/ PR,9.95
ABACAXI,PÉROLA,6320,AP,NORTE,2026,1,26-01-2026 - 30-01-2026,4,PREÇO RECEBIDO P/ PR,4.5
ABACAXI,PÉROLA,6320,AP,NORTE,2026,1,19-01-2026 - 23-01-2026,3,PREÇO RECEBIDO P/ PR,4.3
ABACAXI,PÉROLA,6320,AP,NORTE,2026,1,05-01-2026 - 09-01-2026,1,PREÇO RECEBIDO P/ PR,3.5
ABACAXI,PÉROLA,6320,AP,NORTE,2026,1,12-01-2026 - 16-01-2026,2,PREÇO RECEBIDO P/ PR,4.0
ABACAXI,PÉROLA,6320,PA,NORTE,2026,1,12-01-2026 - 16-01-2026,2,PREÇO RECEBIDO P/ PR,1.33
ABACAXI,PÉROLA,6320,PA,NORTE,2026,1,26-01-2026 - 30-01-2026,4,PREÇO RECEBIDO P/ PR,1.33
