produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,dsc_nivel_comercializacao,valor_produto_kg
ACAI,FRUTO,8623,TOMÉ-AÇU-PA,1508001,PA,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.4
ACAI,FRUTO,8623,ITAPUÃ DO OESTE-RO,1101104,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,6.19
ACAI,FRUTO,8623,PORTO VELHO-RO,1100205,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,4.0
ACAI,FRUTO,8623,VALE DO ANARI-RO,1101757,RO,NORTE,2025,9,PREÇO RECEBIDO P/ PRODUTOR,5.7
ACAI,FRUTO,8623,BRASILÉIA-AC,1200104,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,FEIJÓ-AC,1200302,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.99
ACAI,FRUTO,8623,RIO BRANCO-AC,1200401,AC,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,1.99
ACAI,FRUTO,8623,MACAPÁ-AP,1600303,AP,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.82
ACAI,FRUTO,8623,MAZAGÃO-AP,1600402,AP,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.82
ACAI,FRUTO,8623,AFUÁ-PA,1500305,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.87
ACAI,FRUTO,8623,BELÉM-PA,1501402,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.91
ACAI,FRUTO,8623,CURRALINHO-PA,1502806,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,3.53
ACAI,FRUTO,8623,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.44
ACAI,FRUTO,8623,LIMOEIRO DO AJURU-PA,1504000,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.77
ACAI,FRUTO,8623,MUANÁ-PA,1504901,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.0
ACAI,FRUTO,8623,PONTA DE PEDRAS-PA,1505700,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.18
ACAI,FRUTO,8623,TOMÉ-AÇU-PA,1508001,PA,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.0
ACAI,FRUTO,8623,ITAPUÃ DO OESTE-RO,1101104,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,6.25
ACAI,FRUTO,8623,PORTO VELHO-RO,1100205,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,4.11
ACAI,FRUTO,8623,VALE DO ANARI-RO,1101757,RO,NORTE,2025,10,PREÇO RECEBIDO P/ PRODUTOR,5.83
ACAI,FRUTO,8623,BRASILÉIA-AC,1200104,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,FEIJÓ-AC,1200302,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,RIO BRANCO-AC,1200401,AC,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,MACAPÁ-AP,1600303,AP,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.44
ACAI,FRUTO,8623,MAZAGÃO-AP,1600402,AP,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.38
ACAI,FRUTO,8623,AFUÁ-PA,1500305,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.27
ACAI,FRUTO,8623,BELÉM-PA,1501402,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,5.09
ACAI,FRUTO,8623,CURRALINHO-PA,1502806,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.07
ACAI,FRUTO,8623,IGARAPÉ-MIRI-PA,1503309,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.3
ACAI,FRUTO,8623,LIMOEIRO DO AJURU-PA,1504000,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.8
ACAI,FRUTO,8623,MUANÁ-PA,1504901,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,3.51
ACAI,FRUTO,8623,PONTA DE PEDRAS-PA,1505700,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,2.86
ACAI,FRUTO,8623,TOMÉ-AÇU-PA,1508001,PA,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.1
ACAI,FRUTO,8623,ITAPUÃ DO OESTE-RO,1101104,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,6.17
ACAI,FRUTO,8623,PORTO VELHO-RO,1100205,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,4.33
ACAI,FRUTO,8623,VALE DO ANARI-RO,1101757,RO,NORTE,2025,11,PREÇO RECEBIDO P/ PRODUTOR,5.45
ACAI,FRUTO,8623,BRASILÉIA-AC,1200104,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,FEIJÓ-AC,1200302,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,RIO BRANCO-AC,1200401,AC,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.0
ACAI,FRUTO,8623,MACAPÁ-AP,1600303,AP,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.08
ACAI,FRUTO,8623,MAZAGÃO-AP,1600402,AP,NORTE,2025,12,PREÇO RECEBIDO P/ PRODUTOR,2.14
